subject,paradigm,classifier,train_session,test_session,accuracy,f1_score,evaluation
S00_2class,2-class,lda,session_0,session_1,0.9875,0.9874980465697766,cross-session
S00_2class,2-class,lda,session_0,session_2,0.9375,0.9374902328488826,cross-session
S00_2class,2-class,svm,session_0,session_1,0.975,0.975,cross-session
S00_2class,2-class,svm,session_0,session_2,0.9375,0.9372549019607843,cross-session
S01_2class,2-class,lda,session_0,session_1,0.95,0.949874686716792,cross-session
S01_2class,2-class,lda,session_0,session_2,0.9875,0.9874980465697766,cross-session
S01_2class,2-class,svm,session_0,session_1,0.95,0.9499687304565352,cross-session
S01_2class,2-class,svm,session_0,session_2,0.9125,0.9118249094630766,cross-session
S02_2class,2-class,lda,session_0,session_1,0.95,0.949874686716792,cross-session
S02_2class,2-class,lda,session_0,session_2,0.95,0.95,cross-session
S02_2class,2-class,svm,session_0,session_1,0.975,0.9749843652282676,cross-session
S02_2class,2-class,svm,session_0,session_2,0.925,0.9248120300751879,cross-session
S03_2class,2-class,lda,session_0,session_1,0.9875,0.9874980465697766,cross-session
S03_2class,2-class,lda,session_0,session_2,0.9625,0.962447191362854,cross-session
S03_2class,2-class,svm,session_0,session_1,0.9625,0.9624941397093295,cross-session
S03_2class,2-class,svm,session_0,session_2,0.9625,0.962447191362854,cross-session
S04_2class,2-class,lda,session_0,session_1,0.925,0.9245757385292268,cross-session
S04_2class,2-class,lda,session_0,session_2,0.9,0.898989898989899,cross-session
S04_2class,2-class,svm,session_0,session_1,0.9625,0.9624941397093295,cross-session
S04_2class,2-class,svm,session_0,session_2,0.9,0.898989898989899,cross-session
S00_3class,3-class,lda,session_0,session_1,1.0,1.0,cross-session
S00_3class,3-class,lda,session_0,session_2,0.9833333333333333,0.9833229101521784,cross-session
S00_3class,3-class,svm,session_0,session_1,0.9833333333333333,0.9833320310465177,cross-session
S00_3class,3-class,svm,session_0,session_2,0.9333333333333333,0.9344877344877346,cross-session
S01_3class,3-class,lda,session_0,session_1,0.9916666666666667,0.9916653643798512,cross-session
S01_3class,3-class,lda,session_0,session_2,0.9666666666666667,0.9669205618572708,cross-session
S01_3class,3-class,svm,session_0,session_1,0.9416666666666667,0.940115321036265,cross-session
S01_3class,3-class,svm,session_0,session_2,0.7583333333333333,0.7089399862509107,cross-session
